"","celltype"
"acedoojl-1","Neutrophil"
"acedponc-1","HSC"
"aceflnld-1","Nonhaem"
"acegmfii-1","Nonhaem"
"acehadog-1","pDC"
"acehjeeg-1","Erythroid"
"aceiekja-1","Nonhaem"
"aceioeml-1","Macrophage"
"acejoolg-1","Erythroid"
"acekacla-1","Macrophage"
"acelpocm-1","B_memory"
"acembken-1","MonoCD14"
"aceonojj-1","Nonhaem"
"acepejmh-1","Nonhaem"
"acfckihi-1","B_naive"
"acfeolmj-1","MonoCD14"
"acffogbb-1","pDC"
"acfhpppj-1","Erythroid"
"acfilmpi-1","Nonhaem"
"acfjbgep-1","Macrophage"
"acfklhck-1","Erythroid"
"acfmfpam-1","BaEoMa"
"acfndgid-1","Nonhaem"
"acfoblae-1","HSC"
"acfpfmdg-1","Neutrophil"
"acfpjbli-1","Nonhaem"
"acgdfolp-1","HSC"
"acgdmnbp-1","Granulocyte_monocyte_progenitor"
"acghjkbc-1","HSC"
"acghpgfd-1","HSC"
"acgilnph-1","BaEoMa"
"acgjfhem-1","Granulocyte_monocyte_progenitor"
"acgkdbeb-1","Nonhaem"
"acgncadf-1","NK_cell"
"acgoiofi-1","Nonhaem"
"achaabhk-1","Nonhaem"
"achaabkk-1","Erythroid"
"achaggil-1","Erythroid"
"achckomm-1","B_progenitor"
"achjaaic-1","Macrophage"
"achmilde-1","Nonhaem"
"achmjpde-1","B_progenitor"
"achpalio-1","Macrophage"
"achpkbej-1","Nonhaem"
"aciaocca-1","MonoCD14"
"acibjdpc-1","Neutrophil"
"acieofdj-1","Nonhaem"
"acifapac-1","HSC"
"acighkba-1","Erythroid"
"acihbbpa-1","Plasma_cell"
"acihdjep-1","Nonhaem"
"acijcjge-1","MonoCD16"
"acijlpjp-1","Macrophage"
"acilcaoh-1","Erythroid"
"acinnaek-1","HSC"
"aciolege-1","HSC"
"acipchmf-1","Nonhaem"
"acjailik-1","Nonhaem"
"acjangdf-1","Nonhaem"
"acjbbmci-1","Granulocyte_monocyte_progenitor"
"acjcmbeg-1","B_progenitor"
"acjdaalj-1","Nonhaem"
"acjebnpi-1","Nonhaem"
"acjhfkoa-1","Nonhaem"
"acjihegj-1","Nonhaem"
"acjljfba-1","MonoCD14"
"acjnmohi-1","Nonhaem"
"acjpkbda-1","Nonhaem"
"ackcajad-1","MonoCD14"
"ackfadbj-1","MonoCD14"
"ackghocf-1","CTL"
"ackheejp-1","Erythroid"
"ackhekoo-1","HSC"
"ackibadn-1","Nonhaem"
"ackibeml-1","Macrophage"
"ackilebg-1","HSC"
"ackkdamj-1","MonoCD14"
"ackliioo-1","BaEoMa"
"ackmkdjf-1","Nonhaem"
"ackngdmi-1","Neutrophil"
"aclbpfpd-1","Nonhaem"
"aclfcdlj-1","Nonhaem"
"aclhamll-1","Nonhaem"
"acljcgfb-1","Erythroid"
"acljkmgf-1","MonoCD14"
"aclkhmhh-1","Granulocyte_monocyte_progenitor"
"aclphfga-1","Nonhaem"
"acmccpmn-1","MonoCD14"
"acmhpjkb-1","HSC"
"acmjodfk-1","Nonhaem"
"acmkmphp-1","Nonhaem"
"acndhdfn-1","Plasma_cell"
"acnedkob-1","Nonhaem"
"acnfnipp-1","Granulocyte_monocyte_progenitor"
"acnikjom-1","MonoCD14"
"acnleffh-1","Nonhaem"
"acnlejlg-1","Nonhaem"
"acnnnlgp-1","Nonhaem"
"acnpncjb-1","MonoCD14"
"acobioal-1","Neutrophil"
"acodjflf-1","Nonhaem"
"acogamhm-1","B_progenitor"
"acohehoa-1","B_progenitor"
"acojcome-1","HSC"
"acokijkk-1","MonoCD14"
"acokjhbh-1","Erythroid"
"acondmkk-1","Nonhaem"
"acopimep-1","HSC"
"acoppplf-1","Nonhaem"
"acpcdeoi-1","Plasma_cell"
"acpejbjc-1","Neutrophil"
"acpghdbp-1","Erythroid"
"acphbmom-1","Nonhaem"
"acpinphg-1","Erythroid"
"acpjkimp-1","Erythroid"
"acplepkm-1","B_memory"
"acpmfldm-1","MonoCD14"
"acpmjkcn-1","Nonhaem"
"acpnfmal-1","Granulocyte_monocyte_progenitor"
"acpnmgoe-1","Nonhaem"
"acpoefep-1","Plasma_cell"
"adagghfi-1","B_naive"
"adagoaea-1","HSC"
"adahmebb-1","HSC"
"adajihic-1","Nonhaem"
"adandbaf-1","B_progenitor"
"adanfhml-1","Granulocyte_monocyte_progenitor"
"adbbabgk-1","HSC"
"adbfgecf-1","Erythroid"
"adbjdkkn-1","BaEoMa"
"adbongai-1","Neutrophil"
"adcaconc-1","MonoCD14"
"adchbnbd-1","Erythroid"
"adcilnhk-1","Nonhaem"
"adcoehoo-1","Nonhaem"
"adcohajl-1","Nonhaem"
"adcolcmg-1","Nonhaem"
"addalimk-1","Erythroid"
"adddkpja-1","Nonhaem"
"adddmlek-1","Nonhaem"
"addehglp-1","B_progenitor"
"addgohce-1","MonoCD14"
"addhkanm-1","Macrophage"
"addiichd-1","Erythroid"
"addkaefg-1","Neutrophil"
