"","celltype"
"abidleji-1","Erythroid"
"abidoboa-1","Erythroid"
"abieinga-1","Erythroid"
"abielcoe-1","Erythroid"
"abihljka-1","Erythroid"
"abijbmdj-1","HSC"
"abijcgin-1","HSC"
"abijjlnj-1","HSC"
"abijokaa-1","Erythroid"
"abilkacm-1","Erythroid"
"abimcgjb-1","Plasma_cell"
"abimeill-1","Erythroid"
"abinkobf-1","Erythroid"
"abinpekp-1","Erythroid"
"abiodoih-1","Erythroid"
"abiphlpe-1","Erythroid"
"abjbpiol-1","Erythroid"
"abjbpmed-1","HSC"
"abjccial-1","Plasma_cell"
"abjciich-1","B_progenitor"
"abjcnbcm-1","Erythroid"
"abjenpag-1","Erythroid"
"abjfclml-1","MonoCD14"
"abjfoipj-1","Erythroid"
"abjgflja-1","Plasma_cell"
"abjigcgi-1","Erythroid"
"abjjhgfh-1","Erythroid"
"abjkpdde-1","Erythroid"
"abjlgijm-1","T_prolifer"
"abjmckjk-1","Erythroid"
"abjnledc-1","CTL"
"abjoikpc-1","HSC"
"abjolkfn-1","HSC"
"abjpfbbb-1","HSC"
"abjpmmlo-1","HSC"
"abkahdcj-1","HSC"
"abkahhdp-1","Nonhaem"
"abkcejcp-1","HSC"
"abkcnoca-1","Macrophage"
"abkejkfk-1","MonoCD14"
"abkfdcoh-1","Plasma_cell"
"abkfhgam-1","Nonhaem"
"abkgfabo-1","Erythroid"
"abkgpmco-1","HSC"
"abkjgdpp-1","HSC"
"abkkbhee-1","Nonhaem"
"abkljpjl-1","Nonhaem"
"abkmiieh-1","Neutrophil"
"abknojhd-1","Erythroid"
"abkplcck-1","MonoCD14"
"ablanhmj-1","Erythroid"
"ablbmhmp-1","Granulocyte_monocyte_progenitor"
"ablbpfll-1","Erythroid"
"ablcjlnb-1","HSC"
"abldpbbc-1","MonoCD14"
"ablfgegn-1","B_memory"
"ablgidjn-1","MonoCD14"
"ablgjdjg-1","Erythroid"
"ablgoiij-1","Neutrophil"
"ablhcjpk-1","Nonhaem"
"ablijfhe-1","HSC"
"abljknml-1","HSC"
"abljngpo-1","Neutrophil"
"abljnobo-1","Erythroid"
"ablkcdoa-1","HSC"
"ablkemcp-1","Erythroid"
"ablkfdhj-1","HSC"
"ablokjhg-1","HSC"
"ablopkej-1","Nonhaem"
"ablpacak-1","HSC"
"ablplfnn-1","HSC"
"ablppdnm-1","Erythroid"
"abmamifm-1","HSC"
"abmbglpk-1","Erythroid"
"abmenfdh-1","Plasma_cell"
"abmfhmfn-1","Erythroid"
"abmhlhka-1","Plasma_cell"
"abmkhbim-1","pDC"
"abmondac-1","Erythroid"
"abmplhie-1","HSC"
"abnahjaf-1","Erythroid"
"abnaifla-1","Erythroid"
"abncecga-1","BaEoMa"
"abndahnb-1","B_progenitor"
"abndpcil-1","Nonhaem"
"abnealmi-1","Erythroid"
"abnklmkm-1","Nonhaem"
"abnoifkf-1","Erythroid"
"abnolold-1","MonoCD16"
"abnoplbd-1","Erythroid"
"aboadodm-1","Erythroid"
"aboakenf-1","Erythroid"
"abobjfck-1","Erythroid"
"aboejomm-1","Erythroid"
"aboflikc-1","HSC"
"abogjfkk-1","Erythroid"
"abohdgmn-1","MonoCD14"
"abokhlhg-1","HSC"
"aboljigk-1","Erythroid"
"abomfcfm-1","Nonhaem"
"abomghgd-1","Nonhaem"
"abonokgg-1","MAIT_gdT"
"aboojacf-1","Erythroid"
"abopjjfi-1","Erythroid"
"abpbclpo-1","Nonhaem"
"abpcmadp-1","Plasma_cell"
"abpddlic-1","HSC"
"abpebcga-1","Erythroid"
"abpeckln-1","Granulocyte_monocyte_progenitor"
"abpeiebg-1","Macrophage"
"abpfjpfj-1","Macrophage"
"abpglapg-1","HSC"
"abphllof-1","Nonhaem"
"abpmkdee-1","Nonhaem"
"abpohhhj-1","Macrophage"
"abpojdkn-1","Erythroid"
"abpplfpb-1","Erythroid"
"acaaodoh-1","Erythroid"
"acaapbch-1","Erythroid"
"acabpich-1","Erythroid"
"acacimbm-1","Plasma_cell"
"acadabni-1","Macrophage"
"acadfobi-1","Macrophage"
"acaefdaa-1","Erythroid"
"acaelffm-1","Erythroid"
"acagdnfl-1","Nonhaem"
"acainhmg-1","MonoCD14"
"acakpdeh-1","Nonhaem"
"acamhdba-1","Neutrophil"
"acamikil-1","Neutrophil"
"acamlhlf-1","Erythroid"
"acaoaphp-1","Erythroid"
"acaocmkp-1","Macrophage"
"acaokihk-1","Nonhaem"
"acbbkmka-1","T_prolifer"
"acbcpeod-1","Macrophage"
"acbdmkpe-1","Erythroid"
"acbeagem-1","HSC"
"acbeodml-1","HSC"
"acbfdlmc-1","Erythroid"
"acbfegpc-1","Nonhaem"
"acbhifpm-1","Nonhaem"
"acbjgobh-1","Plasma_cell"
"acbjkeib-1","Nonhaem"
"acbkfdod-1","Plasma_cell"
"acbmgldo-1","Plasma_cell"
"acbnjmde-1","Plasma_cell"
"acccnjpn-1","Plasma_cell"
"accdffja-1","B_naive"
"accfjcia-1","MonoCD14"
"accgffje-1","Nonhaem"
"acchdpfn-1","pDC"
"accpkbfb-1","HSC"
"acdacbga-1","Neutrophil"
"acdaecfp-1","MonoCD14"
"acdbhdck-1","Erythroid"
"acdbhlgg-1","Erythroid"
"acdclldh-1","Erythroid"
"acdfogkm-1","HSC"
"acdidngh-1","HSC"
"acdkdofl-1","Erythroid"
"acdlobpm-1","Erythroid"
"acdnggjo-1","MonoCD14"
"acdnjofp-1","Erythroid"
"acdnpbip-1","Erythroid"
"acdobihc-1","Erythroid"
"acdoiopn-1","Erythroid"
"acebjfcg-1","Granulocyte_monocyte_progenitor"
"acebolkn-1","HSC"
"acecejab-1","HSC"
"acecgapo-1","Neutrophil"
"acecjbkg-1","Erythroid"
"acecobog-1","Erythroid"
"acecpbam-1","Plasma_cell"
"acedmfdf-1","Erythroid"
"acedodlm-1","MonoCD14"
"acefjnlc-1","MonoCD14"
"aceglffo-1","Macrophage"
"aceighjg-1","Granulocyte_monocyte_progenitor"
"acfajpgf-1","Erythroid"
"acfffjdc-1","Erythroid"
"acfjnloe-1","Neutrophil"
"acfohhlg-1","HSC"
"acfpdmkd-1","Plasma_cell"
"acganfcl-1","HSC"
"acgbhdbf-1","Erythroid"
"acghobjh-1","Erythroid"
"acgjgfge-1","Erythroid"
"acgjnplb-1","HSC"
"achdccph-1","Erythroid"
"achegggj-1","Erythroid"
"achenjid-1","B_memory"
"achgodoj-1","Erythroid"
"achhceal-1","Erythroid"
"achjgmea-1","B_progenitor"
"achjhjpg-1","Plasma_cell"
"achjhmdk-1","Erythroid"
"achjpcni-1","Erythroid"
"achkokan-1","Erythroid"
"achnebbe-1","Erythroid"
"achoaidf-1","Macrophage"
"achookdo-1","MonoCD14"
"achphmbp-1","Granulocyte_monocyte_progenitor"
"aciaofie-1","Plasma_cell"
"acibjcoa-1","Neutrophil"
"acibjfgd-1","BaEoMa"
"acibnfhh-1","Erythroid"
"acicdajo-1","Erythroid"
"acidmcam-1","Erythroid"
"aciennig-1","Erythroid"
"acifiiil-1","Erythroid"
"acigbljk-1","HSC"
"acigmani-1","Plasma_cell"
"acihjelb-1","Nonhaem"
"aciigang-1","Erythroid"
"aciinjle-1","Erythroid"
"acijgana-1","MonoCD14"
"acijhgif-1","Nonhaem"
"acilaalg-1","HSC"
"acjahbch-1","Erythroid"
"acjaojda-1","Plasma_cell"
"acjaojep-1","Erythroid"
"acjbfpak-1","Granulocyte_monocyte_progenitor"
"acjbhghm-1","Erythroid"
"acjchkan-1","Nonhaem"
"acjdempb-1","Neutrophil"
"acjdeogk-1","B_progenitor"
"acjefcdh-1","Erythroid"
"acjgkfdi-1","Macrophage"
"acjhchfa-1","Erythroid"
"acjhogcd-1","Plasma_cell"
"acjjpajj-1","MonoCD14"
"acjnibjo-1","CD8_T_memory"
"ackeemeb-1","Macrophage"
"ackigini-1","Erythroid"
"ackknnhh-1","Erythroid"
"ackmeljk-1","Erythroid"
"ackmgbdk-1","Erythroid"
"acknldmo-1","Erythroid"
"ackocikb-1","Erythroid"
"ackpgflj-1","Erythroid"
"ackpoeng-1","Erythroid"
"aclahfjj-1","Erythroid"
"aclbannb-1","Erythroid"
"aclcegck-1","Erythroid"
"aclcleie-1","Erythroid"
"aclcndko-1","HSC"
"aclijmbi-1","Macrophage"
"aclpgbcn-1","MonoCD14"
"acmbgkfn-1","HSC"
"acmdmmoi-1","Erythroid"
"acmgdaja-1","Erythroid"
"acmhelpe-1","Neutrophil"
"acmhkoli-1","MonoCD14"
"acmloknm-1","Erythroid"
"acmmbcaj-1","Erythroid"
"acnahmai-1","Erythroid"
"acndemgf-1","Erythroid"
"acndighi-1","Erythroid"
"acnekmal-1","Plasma_cell"
"acnemiio-1","Nonhaem"
"acngkmfb-1","Erythroid"
"acnhbjkl-1","Erythroid"
"acnkkfhp-1","Erythroid"
"acnldafa-1","Erythroid"
"acnmfgmp-1","Erythroid"
"acnmhchk-1","Erythroid"
"acnobene-1","Erythroid"
"acnochpd-1","Erythroid"
"acnolemg-1","Erythroid"
"acnphfba-1","CD4_T_naive"
"acoalffc-1","Erythroid"
"acodcjnl-1","HSC"
"acogcfhb-1","HSC"
"acogfjhi-1","Erythroid"
"acoifhef-1","CD4_T_memory"
"acokaapk-1","Erythroid"
"acokkpil-1","Erythroid"
"acolgmnc-1","Erythroid"
"acommfod-1","Plasma_cell"
"aconbdab-1","Plasma_cell"
"aconhhcn-1","Macrophage"
"acpbgokg-1","Erythroid"
"acpcciff-1","Erythroid"
"acpcogag-1","Plasma_cell"
"acpegpfi-1","Nonhaem"
"acpgjnpl-1","Erythroid"
"acpkanmj-1","Granulocyte_monocyte_progenitor"
"acpljdab-1","Erythroid"
"acpmgedk-1","Erythroid"
"adaandgf-1","Nonhaem"
"adagfkge-1","HSC"
"adajjack-1","HSC"
"adakefeo-1","Erythroid"
"adalgbcn-1","Granulocyte_monocyte_progenitor"
"adalkeim-1","Erythroid"
"adaoibfj-1","HSC"
"adbaapkj-1","Erythroid"
"adbabllk-1","Erythroid"
"adbbnehg-1","Erythroid"
"adbcpcoc-1","Granulocyte_monocyte_progenitor"
"adbeogca-1","Erythroid"
"adbfbgdi-1","Erythroid"
"adbfmapg-1","Erythroid"
"adbggdfg-1","Erythroid"
"adbgopjo-1","Erythroid"
"adbhdlii-1","CTL"
"adbjjbpo-1","Erythroid"
"adblfolf-1","Erythroid"
"adbogoib-1","Erythroid"
"adbojglc-1","Erythroid"
"adbojkcm-1","Erythroid"
"adcaacna-1","Neutrophil"
"adccjmof-1","Granulocyte_monocyte_progenitor"
"adcfeoec-1","Neutrophil"
"adcgnelp-1","Plasma_cell"
"adchoonc-1","HSC"
"adcimcae-1","Nonhaem"
"adcmnkjb-1","Plasma_cell"
"addbbbjm-1","HSC"
"addbbilk-1","Plasma_cell"
"addcbkop-1","Erythroid"
"addcliom-1","Erythroid"
"addcljhi-1","Erythroid"
"adddemkg-1","Erythroid"
"addehpbg-1","Erythroid"
"addgdjdi-1","CTL"
"addgflcf-1","Macrophage"
"addigjll-1","Erythroid"
"addiioha-1","Erythroid"
"adeddakj-1","MonoCD14"
"adedgnhc-1","Erythroid"
"adeemmmh-1","Neutrophil"
"adeeogjd-1","Erythroid"
"adefbjpl-1","Macrophage"
"adekjjjh-1","CTL"
"adelcdle-1","Erythroid"
"adeleahk-1","Macrophage"
"ademaleb-1","Nonhaem"
"ademilpd-1","Erythroid"
"adeococi-1","Erythroid"
"adeoella-1","Erythroid"
"adepgcgk-1","Granulocyte_monocyte_progenitor"
"adfacfgb-1","BaEoMa"
"adfakkhl-1","Erythroid"
"adfakngj-1","Nonhaem"
"adfbbkoc-1","Nonhaem"
"adffdnkg-1","Neutrophil"
"adffjeja-1","Erythroid"
"adffnngk-1","Macrophage"
"adfhilea-1","Nonhaem"
"adfhnooh-1","Plasma_cell"
"adfinnli-1","Plasma_cell"
"adfkbccl-1","Erythroid"
"adfllabj-1","Erythroid"
"adfoakna-1","Erythroid"
"adfpbnpe-1","Nonhaem"
"adfpehan-1","Erythroid"
"adfphhnl-1","Erythroid"
"adgabpbj-1","Erythroid"
"adgakhho-1","Erythroid"
"adgcmndl-1","Neutrophil"
"adgdjomf-1","Erythroid"
"adgfadcj-1","HSC"
"adggalpo-1","Erythroid"
"adgidgal-1","Erythroid"
"adgjbfip-1","Neutrophil"
"adgjmanl-1","Granulocyte_monocyte_progenitor"
"adgkhadj-1","HSC"
"adhbamme-1","Erythroid"
"adhbmmde-1","Erythroid"
"adhckfhf-1","Macrophage"
"adhcleif-1","MonoCD14"
"adhelpji-1","Erythroid"
"adhfaaig-1","Nonhaem"
"adhigklm-1","Erythroid"
"adhihiil-1","Erythroid"
"adhjapno-1","Erythroid"
"adhjdcnd-1","Erythroid"
"adhjfjnd-1","Erythroid"
"adhjpmcl-1","Erythroid"
"adhkagnc-1","CD4_T_naive"
"adhkibfg-1","Granulocyte_monocyte_progenitor"
"adhkodph-1","Erythroid"
"adhlhpfo-1","HSC"
"adhlkcdn-1","Plasma_cell"
"adhndggo-1","Neutrophil"
"adhnojib-1","Neutrophil"
"adicccjn-1","MonoCD14"
"adidlbki-1","CD4_T_naive"
"adidpljd-1","MonoCD14"
"adiedikc-1","Plasma_cell"
"adifcafd-1","Erythroid"
"adigbima-1","CD4_T_naive"
"adiioici-1","Erythroid"
"adikfgki-1","Plasma_cell"
"adiklege-1","HSC"
"adildifn-1","B_naive"
"adimkjbg-1","Macrophage"
"adiokbjo-1","Erythroid"
"adiokibd-1","Plasma_cell"
"adipdhjb-1","Erythroid"
"adipjmfb-1","Erythroid"
"adipooba-1","HSC"
"adjahgbf-1","Nonhaem"
"adjahhpa-1","Plasma_cell"
"adjcfoag-1","Erythroid"
"adjljkjf-1","CD4_T_memory"
"adjlkbhl-1","Neutrophil"
"adjnlnfp-1","Erythroid"
"adkaehfb-1","HSC"
"adkekeoa-1","Granulocyte_monocyte_progenitor"
"adkghedn-1","B_progenitor"
"adkhomlo-1","Macrophage"
"adkibcab-1","Macrophage"
"adkicblg-1","Neutrophil"
"adkjjibm-1","Nonhaem"
"adkjmjfg-1","Neutrophil"
"adkmpgfi-1","HSC"
"adkpapoj-1","HSC"
"adkpcilj-1","HSC"
"adlaeeaj-1","Nonhaem"
"adlbhhho-1","HSC"
"adldmigj-1","Neutrophil"
"adlffdid-1","Erythroid"
"adlgohfa-1","Erythroid"
"adlhkdae-1","Neutrophil"
"adlkdaie-1","B_progenitor"
"adlkpbal-1","CD4_T_memory"
"adlnhhhd-1","Neutrophil"
"adlniajn-1","CD4_T_memory"
"adlobech-1","B_memory"
"adlojjoe-1","Erythroid"
"admcbehl-1","Erythroid"
"admcogkl-1","Neutrophil"
"admdohlm-1","Erythroid"
"admeekfd-1","Erythroid"
"admfdnep-1","MonoCD14"
"admgaoim-1","CD8_T_memory"
"admifdcb-1","Nonhaem"
"admikgfi-1","Erythroid"
"adminkme-1","Erythroid"
"admiplde-1","HSC"
"admjlbee-1","Macrophage"
"admkelec-1","CTL"
"admkioja-1","Granulocyte_monocyte_progenitor"
"admlonep-1","CD8_T_memory"
"admmcfjh-1","Erythroid"
"admmchfo-1","Erythroid"
"admmckej-1","Erythroid"
"admokfjk-1","Erythroid"
"adnaahdp-1","Erythroid"
"adnedjnh-1","Erythroid"
"adnemnce-1","Erythroid"
"adnenjki-1","Nonhaem"
"adneobmp-1","Erythroid"
"adnfkgak-1","MonoCD14"
"adnhelge-1","Erythroid"
"adnhihkb-1","B_memory"
"adnhmkkj-1","Erythroid"
"adnicekl-1","Granulocyte_monocyte_progenitor"
"adnidjke-1","Plasma_cell"
"adnjncjg-1","Erythroid"
"adnjpdjj-1","Erythroid"
"adnkajll-1","Macrophage"
"adnmjllk-1","Plasma_cell"
"adnnbggb-1","Nonhaem"
"adnnbngo-1","CD4_T_naive"
"adnpinjm-1","Plasma_cell"
"adobeefn-1","HSC"
"adodjcdi-1","Erythroid"
"adodpfcl-1","Erythroid"
"adoebcbj-1","Erythroid"
"adofekdb-1","Erythroid"
"adohbhmk-1","B_progenitor"
"adohehgm-1","MonoCD14"
"adohninl-1","Erythroid"
"adonkfbe-1","Erythroid"
"adoodeff-1","pDC"
"adpafpda-1","HSC"
"adpajhog-1","Neutrophil"
"adpbbpgl-1","Neutrophil"
"adpebpac-1","Neutrophil"
"adpioabj-1","Erythroid"
"adpjocbf-1","Erythroid"
"adpmeadf-1","Erythroid"
"adpocpco-1","Erythroid"
"adppnlkb-1","Erythroid"
"aeabojbj-1","CD4_Tcm"
"aeaganhp-1","Erythroid"
